,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,Acc Rate
lengthscale,2.025,1.024,0.028,0.317,3.912,1346.071,0.999,0.83
noise_var,0.6,0.257,0.007,0.203,1.095,1524.673,1.001,0.83
sig_var,3.485,1.696,0.04,0.786,6.655,1803.232,1.0,0.83
