,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,Acc Rate
lengthscale,1.191,0.49,0.013,0.458,2.192,1313.846,1.0,0.843
sig_var,3.457,0.986,0.022,1.817,5.525,1856.49,0.999,0.843
noise_var,0.71,0.456,0.01,0.061,1.649,1503.105,1.0,0.843
