,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,Acc Rate
lengthscale,1.623,0.794,0.018,0.433,3.158,1794.477,0.999,0.822
noise_var,1.028,0.428,0.01,0.403,1.944,1701.448,1.0,0.822
sig_var,4.714,1.81,0.042,1.79,8.404,1776.864,0.999,0.822
