,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,Acc Rate
log_l,-0.074,0.223,0.008,-0.541,0.263,615.228,1.005,0.839
lengthscale,0.951,0.192,0.007,0.577,1.295,641.365,1.005,0.839
log_nv,-2.321,0.628,0.022,-3.467,-1.067,717.167,1.0,0.839
noise_var,0.125,0.135,0.006,0.018,0.296,579.399,1.0,0.839
log_sv,2.381,0.577,0.021,1.33,3.509,648.477,1.006,0.839
sig_var,13.003,9.763,0.404,2.315,29.266,519.148,1.006,0.839
