,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,Acc Rate
lengthscale,2.534,1.157,0.026,0.743,4.862,2031.158,1.0,0.837
noise_var,1.261,0.503,0.012,0.457,2.238,1985.663,1.0,0.837
sig_var,4.707,1.952,0.048,1.521,8.561,1983.33,1.0,0.837
