,mean,sd,mc_error,hpd_2.5,hpd_97.5,Acc Rate
η_per,0.178,0.099,0.006,0.057,0.372,0.86
ℓ_pdecay,128.833,33.23,1.408,74.73,198.754,0.86
ℓ_psmooth ,0.859,0.152,0.008,0.543,1.122,0.86
η_med,0.031,0.012,0.001,0.017,0.052,0.86
ℓ_med,1.73,1.556,0.081,0.02,4.986,0.86
α,1.43,0.49,0.036,0.741,2.395,0.86
η_trend,2.922,1.701,0.084,0.95,5.451,0.86
ℓ_trend,57.53,15.362,0.694,30.453,87.868,0.86
η_noise,0.007,0.001,0.0,0.006,0.009,0.86
ℓ_noise,0.153,0.03,0.001,0.103,0.216,0.86
σ,0.007,0.0,0.0,0.006,0.008,0.86
