,values
s_1,5.046983259394604
ls_2,0.0020837935903985356
s_3,231.9524639161072
ls_4,4646.408530251029
ls_5,1.4297938657746927
p,365.88238003622513
s_6,0.02472743448746619
ls_7,12723.078972721476
alpha_8,5.11516658691937e-05
s_9,6.493375177688771
ls_10,0.00028832033928912393
n_11,5.047631607227623
