,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,Acc Rate
lengthscale,1.495,0.75,0.019,0.201,2.851,1428.827,1.001,0.847
sig_var,2.452,0.923,0.022,0.883,4.357,1610.098,1.0,0.847
noise_var,1.766,0.71,0.016,0.718,3.248,1493.478,0.999,0.847
