,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,Acc Rate
lengthscale,1.469,0.406,0.012,0.786,2.308,1135.619,1.001,0.818
sig_var,6.122,4.536,0.113,1.327,14.535,1349.112,0.999,0.818
noise_var,0.65,0.357,0.009,0.207,1.36,1463.773,0.999,0.818
