sig_sd,ls,noise_sd,lml
10.777,3.301,2.981,-60.815
9.149,4.248,3.853,-60.832
9.756,0.977,0.011,-61.459
14.633,3.605,3.111,-61.88
8.507,6.254,3.856,-60.529
8.215,6.972,4.9,-62.143
15.718,1.41,0.555,-62.503
11.613,1.097,0.885,-62.384
8.103,3.046,2.623,-60.523
12.75,1.294,0.027,-62.193
12.183,1.381,0.932,-61.589
14.095,2.627,2.25,-61.928
9.887,1.026,0.99,-62.198
13.328,1.248,0.02,-62.158
12.297,1.394,0.085,-62.715
7.452,0.835,0.011,-62.695
7.851,1.855,2.098,-60.807
8.468,0.954,0.105,-61.644
18.082,1.484,0.115,-63.699
8.073,0.966,0.175,-61.806
9.338,1.174,0.142,-61.559
11.876,1.633,1.037,-61.377
10.372,1.106,0.108,-61.295
9.094,1.146,0.564,-60.937
9.871,1.415,0.324,-61.242
7.647,0.69,0.031,-63.769
10.164,1.113,0.009,-61.439
10.678,4.577,2.762,-60.41
10.036,2.151,1.802,-60.765
7.841,1.211,0.573,-61.609
10.827,6.794,2.952,-60.301
8.73,1.902,4.438,-64.005
10.364,1.314,3.26,-64.483
12.515,1.605,1.732,-62.1
12.841,3.385,3.135,-61.484
15.21,7.79,3.169,-60.604
15.176,5.748,5.082,-63.353
13.756,8.86,2.685,-61.799
6.298,2.622,2.466,-61.416
7.324,0.788,0.021,-63.094
10.926,0.748,0.055,-63.941
8.743,9.455,3.521,-62.359
10.099,6.494,3.702,-60.332
8.535,0.987,0.25,-61.455
18.2,1.927,2.047,-64.482
11.175,1.04,0.038,-61.651
9.855,0.538,0.731,-66.478
12.325,1.297,0.224,-61.175
12.88,5.566,2.899,-60.661
15.145,2.572,2.19,-62.35
