sig_sd,ls,noise_sd,lml
7.13,1.64,1.554,-61.515
8.361,5.373,3.334,-60.151
13.133,6.233,3.87,-60.896
10.54,2.739,1.966,-61.294
8.722,2.506,3.484,-61.531
9.99,8.974,3.828,-61.543
8.372,8.117,4.983,-62.621
16.951,4.342,2.598,-62.167
8.607,5.374,2.335,-61.726
20.482,7.459,4.752,-63.103
6.625,5.882,3.662,-60.875
14.444,2.988,1.935,-62.67
10.303,3.287,2.661,-60.66
12.915,6.31,2.983,-60.497
14.797,2.506,2.393,-62.297
23.404,7.081,2.758,-62.449
6.37,0.858,1.561,-65.453
9.938,4.474,2.032,-62.779
13.508,6.707,3.774,-60.742
6.08,3.192,2.987,-61.271
16.668,4.709,2.766,-61.798
10.05,3.55,1.919,-62.683
10.3,4.485,2.652,-60.48
7.84,3.363,3.943,-61.415
5.047,6.937,2.969,-63.685
8.093,7.454,3.884,-61.026
12.35,3.289,2.921,-61.25
12.816,3.276,2.182,-61.848
11.663,4.273,2.256,-61.661
7.559,4.765,2.523,-60.928
12.902,14.592,7.539,-67.894
7.684,6.806,2.962,-60.785
8.019,4.083,3.06,-60.186
14.603,4.744,2.879,-61.183
5.908,6.02,2.553,-62.608
19.348,5.414,3.33,-62.136
17.357,5.129,3.329,-61.795
5.274,1.759,3.676,-64.883
8.967,4.529,3.099,-60.109
12.189,8.301,6.671,-65.307
7.173,3.545,3.345,-60.68
8.419,7.219,4.03,-60.969
8.56,3.031,3.701,-61.351
15.494,7.854,2.76,-61.059
9.838,2.839,1.327,-66.238
13.474,6.314,2.409,-61.932
6.781,0.71,1.392,-65.68
5.748,5.519,3.211,-61.377
13.035,1.583,2.475,-63.535
10.517,6.005,2.858,-60.356
