01G-QSS4:Curr1,02G-QSS3:Curr1,05G-QSS3:Curr1,07G-QSS2:Curr1,08G-QSS2:Curr1,09G-QSS1:Curr1,10G-QSS4:Curr1,11G-QSS3:Curr1,12G-QSS3:Curr1,14G-QSS2:Curr1,16G-QSS2:Curr1,17G-QSS2:Curr1,18G-QSS1:Curr1,objective,objective_old
-8.617856,-1.394464,-0.546639,-3.47372,5.812539,3.212023,-7.830839,-3.107493,3.322974,-2.429062,-3.143048,3.561067,7.190197,0.777402,-0.777402
-8.881039,-0.051911,-0.215212,-3.934417,7.009269,2.992681,-7.408895,-4.408124,3.469718,-2.703056,-2.831935,2.32209,7.180066,0.773716,-0.773716
-9.271413,1.939473,0.276388,-4.617761,8.784357,2.667334,-6.783034,-6.337326,3.687381,-3.109466,-2.370468,0.484338,7.16504,0.727581,-0.727581
-9.054692,-1.655234,-1.342002,-2.612791,6.029172,3.332356,-7.588549,-2.8072,3.05545,-1.630957,-3.742409,3.35842,7.269503,0.778013,-0.778013
-9.828552,-1.735157,-2.544496,-1.337142,6.684556,3.471181,-7.089026,-2.652649,2.659969,-0.409397,-4.63294,2.714905,7.395243,0.754833,-0.754833
-10.976405,-1.853705,-4.328134,0.555006,7.656676,3.677097,-6.348092,-2.423405,2.073359,1.402522,-5.953849,1.760389,7.58175,0.739864,-0.739864
-12.124257,-1.972253,-6.111772,2.447153,8.628795,3.883014,-5.607159,-2.194162,1.486749,3.21444,-7.274757,0.805874,7.768257,0.697529,-0.697529
-13.27211,-2.090802,-7.895409,4.339301,9.600915,4.08893,-4.866225,-1.964918,0.900139,5.026358,-8.595665,-0.148641,7.954764,0.651361,-0.651361
-8.098148,-1.556444,0.144363,-4.189581,5.219073,3.160759,-8.205993,-2.998236,3.544291,-3.140889,-2.641652,4.15385,7.11408,0.751279,-0.751279
-7.324288,-1.476521,1.346857,-5.465231,4.563688,3.021934,-8.705517,-3.152788,3.939773,-4.36245,-1.751121,4.797366,6.988341,0.731173,-0.731173
-6.176436,-1.357973,3.130495,-7.357378,3.591569,2.816017,-9.44645,-3.382031,4.526382,-6.174368,-0.430213,5.751881,6.801833,0.726592,-0.726592
-5.028583,-1.239424,4.914133,-9.249526,2.619449,2.610101,-10.187384,-3.611275,5.112992,-7.986287,0.890696,6.706396,6.615326,0.676154,-0.676154
-8.821481,-0.989443,-1.512587,-2.928915,5.185568,2.848282,-7.849952,-3.552517,3.035492,-1.371939,-3.311385,4.111424,7.716058,0.773213,-0.773213
-8.751584,0.056078,-2.266339,-2.93361,4.080965,2.120187,-8.074455,-4.697062,2.84608,-0.467526,-2.967773,5.074148,8.488554,0.77561,-0.77561
-8.647908,1.606879,-3.384365,-2.940575,2.442529,1.040217,-8.407456,-6.394746,2.565128,0.873973,-2.458098,6.502139,9.634384,0.74996,-0.74996
-8.544231,3.157681,-4.502391,-2.947541,0.804092,-0.039753,-8.740457,-8.09243,2.284176,2.215473,-1.948424,7.93013,10.780214,0.74044,-0.74044
-8.440555,4.708482,-5.620417,-2.954506,-0.834345,-1.119722,-9.073459,-9.790113,2.003224,3.556972,-1.43875,9.358121,11.926043,0.725623,-0.725623
-8.336878,6.259284,-6.738444,-2.961471,-2.472782,-2.199692,-9.40646,-11.487797,1.722272,4.898472,-0.929075,10.786112,13.071873,0.66296,-0.66296
-8.907878,-2.281777,-0.580899,-2.92311,6.550932,3.748256,-7.57245,-2.13778,3.269619,-2.489856,-3.736114,2.921432,6.7612,0.732009,-0.732009
-8.977775,-3.327298,0.172853,-2.918415,7.655535,4.476351,-7.347947,-0.993234,3.459031,-3.394269,-4.079726,1.958708,5.988704,0.740272,-0.740272
-9.081451,-4.878099,1.290879,-2.911449,9.293972,5.556321,-7.014946,0.704449,3.739983,-4.735768,-4.589401,0.530717,4.842874,0.716749,-0.716749
-9.185128,-6.4289,2.408905,-2.904484,10.932408,6.63629,-6.681945,2.402133,4.020935,-6.077268,-5.099075,-0.897274,3.697044,0.676636,-0.676636
-9.068369,-0.412528,-2.629833,-3.960003,4.357375,2.131095,-7.702623,-4.014241,3.307305,-0.025614,-2.437422,4.684351,8.327249,0.773868,-0.773868
-9.558903,-0.841155,-3.455593,-5.622222,4.456397,1.919219,-7.17176,-3.270221,3.993873,0.974523,-1.470976,4.357138,8.309775,0.737131,-0.737131
-10.286502,-1.476931,-4.680428,-8.087761,4.603274,1.604947,-6.384341,-2.16663,5.012245,2.458009,-0.037465,3.871788,8.283856,0.742438,-0.742438
-11.014102,-2.112706,-5.905263,-10.5533,4.750152,1.290675,-5.596922,-1.063039,6.030618,3.941495,1.396047,3.386438,8.257936,0.704277,-0.704277
-11.741702,-2.748481,-7.130097,-13.018839,4.897029,0.976403,-4.809503,0.040551,7.048991,5.42498,2.829559,2.901088,8.232017,0.664528,-0.664528
-8.462036,0.117285,-1.609138,-1.905388,4.234977,2.392988,-8.358806,-4.933899,2.458661,-1.261852,-3.632015,5.08881,8.348848,0.758435,-0.758435
-7.971502,0.545913,-0.783378,-0.243168,4.135955,2.604865,-8.889669,-5.677919,1.772094,-2.26199,-4.598461,5.416023,8.366323,0.880165,-0.880165
-7.243902,1.181688,0.441457,2.22237,3.989077,2.919137,-9.677088,-6.78151,0.753721,-3.745476,-6.031973,5.901373,8.392242,0.747915,-0.747915
-8.492757,0.395355,-1.270731,-2.225277,4.095712,2.096606,-8.616333,-4.735312,3.522984,-0.512722,-4.284462,5.029007,7.793087,0.774657,-0.774657
-8.423841,0.948936,-0.523486,-2.3409,3.84643,1.668288,-9.161397,-4.593916,5.079064,0.457537,-5.573856,5.011374,6.898071,0.760369,-0.760369
-8.32162,1.770052,0.584888,-2.512402,3.476676,1.032971,-9.969881,-4.384185,7.387169,1.896703,-7.486389,4.985219,5.570511,0.778008,-0.778008
-8.219398,2.591168,1.693262,-2.683903,3.106921,0.397653,-10.778365,-4.174454,9.695274,3.33587,-9.398923,4.959065,4.242951,0.735378,-0.735378
-8.117176,3.412284,2.801636,-2.855405,2.737166,-0.237664,-11.586849,-3.964723,12.003379,4.775036,-11.311457,4.93291,2.915391,0.686274,-0.686274
-8.577942,-0.288908,-2.194376,-2.082359,4.403841,2.626037,-7.942596,-4.910088,1.599563,-1.712027,-2.690684,5.050803,8.899387,0.769236,-0.769236
-8.646858,-0.842489,-2.941621,-1.966736,4.653122,3.054356,-7.397532,-5.051485,0.043483,-2.682286,-1.40129,5.068436,9.794402,0.733139,-0.733139
-8.74908,-1.663605,-4.049995,-1.795235,5.022877,3.689673,-6.589048,-5.261216,-2.264621,-4.121452,0.511244,5.094591,11.121962,0.700441,-0.700441
-8.851302,-2.484721,-5.158369,-1.623733,5.392632,4.32499,-5.780564,-5.470947,-4.572726,-5.560618,2.423778,5.120746,12.449522,0.645669,-0.645669
-7.608609,0.985521,-1.658696,-2.547885,3.932306,2.670059,-9.363446,-4.822608,4.875339,-0.005389,-5.402151,4.848912,6.953423,0.754323,-0.754323
-6.256495,1.310122,-3.137248,-2.938226,3.951742,4.085608,-9.95169,-5.124849,5.291747,-0.289243,-5.742509,4.577587,6.613881,0.785809,-0.785809
-4.250928,1.791598,-5.330357,-3.517213,3.98057,6.185266,-10.824223,-5.573158,5.909396,-0.710277,-6.247356,4.175137,6.110245,0.684853,-0.684853
-9.279914,0.584291,0.168894,-2.065396,3.908283,0.920345,-8.636335,-4.449017,4.360631,0.345472,-4.981445,5.184287,7.37312,0.795143,-0.795143
-10.632029,0.259689,1.647446,-1.675054,3.888847,-0.495204,-8.04809,-4.146776,3.944224,0.629325,-4.641087,5.455611,7.712662,0.824377,-0.824377
-12.637595,-0.221787,3.840555,-1.096068,3.860019,-2.594862,-7.175558,-3.698467,3.326575,1.050359,-4.13624,5.858061,8.216298,0.827104,-0.827104
-14.643161,-0.703263,6.033664,-0.517081,3.83119,-4.694519,-6.303025,-3.250158,2.708925,1.471394,-3.631393,6.260511,8.719934,0.810416,-0.810416
-16.648728,-1.184739,8.226772,0.061905,3.802362,-6.794177,-5.430493,-2.801849,2.091276,1.892428,-3.126546,6.662961,9.22357,0.77819,-0.77819
-18.654294,-1.666214,10.419881,0.640892,3.773534,-8.893834,-4.55796,-2.35354,1.473627,2.313462,-2.621699,7.065411,9.727206,0.770161,-0.770161
-12.639554,-0.229875,3.511291,-1.164443,3.51006,-2.90924,-6.279921,-3.642305,3.924505,0.305513,-4.763041,5.824185,8.792188,0.82815,-0.82815
-12.642724,-0.242963,2.978531,-1.275077,2.943814,-3.417916,-4.830751,-3.551433,4.891977,-0.899674,-5.777227,5.769373,9.723999,0.807507,-0.807507
-12.647426,-0.262376,2.188297,-1.439178,2.103912,-4.172425,-2.681223,-3.416645,6.32701,-2.687305,-7.281549,5.688071,11.106136,0.770369,-0.770369
-12.652128,-0.281789,1.398063,-1.603279,1.264011,-4.926934,-0.531695,-3.281857,7.762042,-4.474937,-8.785872,5.606769,12.488273,0.739388,-0.739388
-12.635636,-0.213698,4.169819,-1.027692,4.209978,-2.280483,-8.071194,-3.754629,2.728644,1.795206,-3.509439,5.891937,7.640407,0.832574,-0.832574
-12.632466,-0.200611,4.702579,-0.917059,4.776223,-1.771808,-9.520365,-3.8455,1.761173,3.000393,-2.495253,5.946749,6.708597,0.800691,-0.800691
-12.627764,-0.181198,5.492813,-0.752958,5.616125,-1.017299,-11.669893,-3.980289,0.32614,4.788024,-0.990931,6.028051,5.326459,0.780436,-0.780436
-12.623062,-0.161785,6.283047,-0.588857,6.456027,-0.26279,-13.819421,-4.115077,-1.108893,6.575656,0.513392,6.109353,3.944322,0.770001,-0.770001
-12.618361,-0.142372,7.073281,-0.424756,7.295929,0.491719,-15.968949,-4.249865,-2.543926,8.363287,2.017714,6.190655,2.562185,0.725344,-0.725344
-13.695364,-0.233599,4.438497,-1.130639,4.476939,-2.548878,-8.527805,-4.055584,3.104259,1.762738,-3.957599,6.377537,8.422362,0.733865,-0.733865
-15.409322,-0.262834,4.993969,-1.272137,5.037222,-2.867867,-9.595049,-4.563136,3.492753,1.983343,-4.452888,7.175678,9.47641,0.600307,-0.600307
-11.576796,-0.197463,3.751895,-0.955738,3.784391,-2.154586,-7.208618,-3.428217,2.624054,1.490056,-3.345389,5.390981,7.119487,0.932523,-0.932523
-9.862838,-0.168229,3.196423,-0.81424,3.224107,-1.835597,-6.141374,-2.920665,2.23556,1.269452,-2.8501,4.59284,6.065439,0.990341,-0.990341
-7.320557,-0.124865,2.372501,-0.604358,2.39305,-1.362447,-4.558351,-2.167824,1.659314,0.942233,-2.115448,3.408973,4.501989,0.829838,-0.829838
-8.93831,-0.152459,2.896795,-0.737914,2.921884,-1.663531,-5.565691,-2.646886,2.026002,1.150455,-2.582936,4.162314,5.496873,0.950246,-0.950246
-9.496309,-0.366525,3.783704,-1.173828,3.180552,-1.394209,-5.718479,-3.148536,1.924655,1.847831,-3.229348,4.568386,6.562959,0.819603,-0.819603
-10.430532,0.026637,2.674337,-0.471259,3.333423,-2.314425,-6.68953,-2.752365,2.592061,0.716965,-2.528984,4.710971,5.69163,1.024558,-1.024558
-11.186333,0.344711,1.77684,0.097131,3.457098,-3.058896,-7.475127,-2.431856,3.132004,-0.197926,-1.962377,4.826325,4.986711,0.797128,-0.797128
-10.848329,0.202464,2.178213,-0.157061,3.401789,-2.725959,-7.123797,-2.575192,2.890534,0.211226,-2.215771,4.774738,5.30196,0.934831,-0.934831
-10.172319,-0.082031,2.980958,-0.665444,3.29117,-2.060084,-6.421138,-2.861864,2.407595,1.029528,-2.72256,4.671562,5.93246,1.037973,-1.037973
-10.223973,0.550537,3.181927,-0.394459,2.706535,-1.715047,-6.474133,-2.228188,2.446188,1.065688,-2.411611,4.083978,6.252521,1.156478,-1.156478
-10.307551,1.574053,3.507101,0.044003,1.760576,-1.156765,-6.559879,-1.20288,2.508633,1.124195,-1.908486,3.133248,6.770391,0.971853,-0.971853
-10.199365,0.249186,3.086187,-0.523555,2.985051,-1.87942,-6.448886,-2.530067,2.427802,1.048462,-2.559745,4.363899,6.100046,1.126521,-1.126521
-10.253458,0.911619,3.296644,-0.239776,2.372814,-1.518093,-6.504383,-1.866473,2.468218,1.086329,-2.234116,3.748573,6.435219,1.151968,-1.151968
-10.280504,1.242836,3.401873,-0.097886,2.066695,-1.337429,-6.532131,-1.534677,2.488425,1.105262,-2.071301,3.440911,6.602805,1.077579,-1.077579
-9.869532,0.646177,3.355605,0.251804,3.029446,-1.447343,-6.121698,-2.130913,3.141409,1.269808,-1.766921,4.398135,6.478208,0.971242,-0.971242
-10.595609,0.66548,3.075152,-0.950512,2.188998,-1.867887,-6.844209,-2.114512,1.763815,0.873606,-2.952787,3.574214,6.133384,1.332324,-1.332324
-11.183018,0.681096,2.848261,-1.923206,1.509061,-2.208114,-7.428734,-2.101243,0.649318,0.553072,-3.912173,2.907648,5.854415,1.177862,-1.177862
-10.920321,0.674112,2.94973,-1.488204,1.813138,-2.05596,-7.167326,-2.107177,1.147736,0.696419,-3.483122,3.205745,5.979174,1.283769,-1.283769
-10.394926,0.660145,3.152667,-0.6182,2.421292,-1.751651,-6.644512,-2.119045,2.144572,0.983113,-2.625022,3.80194,6.228691,1.25644,-1.25644
-10.831496,-0.014345,3.090907,-0.820152,1.503791,-1.814067,-6.966303,-2.793875,1.936298,0.873772,-2.818957,2.899173,5.943728,1.110061,-1.110061
-10.520165,1.34957,2.997426,-1.34655,2.68849,-2.014635,-6.88177,-1.431525,1.286923,0.785891,-3.348659,4.067192,6.246843,1.345925,-1.345925
-10.268292,2.453,2.921798,-1.772414,3.646931,-2.176898,-6.813381,-0.329361,0.761567,0.714794,-3.777197,5.01214,6.492069,1.01198,-1.01198
-10.380933,1.959531,2.955619,-1.581962,3.218303,-2.104332,-6.843966,-0.822263,0.996513,0.746589,-3.585549,4.589546,6.382401,1.183124,-1.183124
-10.606214,0.972593,3.023263,-1.201057,2.361047,-1.959199,-6.905134,-1.808069,1.466405,0.81018,-3.202253,3.744359,6.163064,1.38088,-1.38088
-11.211427,1.395898,3.063667,-1.330751,2.213607,-1.279402,-6.379733,-1.833298,1.363328,0.715798,-3.255106,4.333264,5.603568,1.355144,-1.355144
-12.241209,1.859467,3.144214,-1.45517,1.782776,-0.146917,-5.543334,-2.095218,1.301933,0.577345,-3.254657,5.096571,4.649091,1.300058,-1.300058
-14.937213,3.073107,3.355088,-1.780903,0.654846,2.817967,-3.353613,-2.780933,1.141199,0.214873,-3.253482,7.094935,2.150238,1.098434,-1.098434
-9.938547,0.822895,2.964106,-1.17696,2.746143,-2.679231,-7.413578,-1.509547,1.439216,0.886934,-3.255661,3.389764,6.783367,1.380083,-1.380083
-8.908766,0.359325,2.88356,-1.052541,3.176974,-3.811716,-8.249977,-1.247627,1.500611,1.025386,-3.256109,2.626457,7.737844,1.357822,-1.357822
-6.212762,-0.854315,2.672686,-0.726807,4.304904,-6.7766,-10.439698,-0.561912,1.661345,1.387859,-3.257285,0.628093,10.236697,1.197908,-1.197908
-7.957652,-0.06883,2.809166,-0.937627,3.574892,-4.857687,-9.022481,-1.005716,1.557316,1.153262,-3.256524,1.921461,8.619405,1.360213,-1.360213
-13.192322,2.287622,3.218607,-1.570084,1.384857,0.899054,-4.77083,-2.337129,1.245228,0.44947,-3.254242,5.801567,3.76753,1.214086,-1.214086
-9.705205,0.087418,2.785763,-0.927872,2.170708,-2.673813,-7.710322,-0.814812,1.369469,1.041197,-3.415935,3.955383,6.879228,1.376281,-1.376281
-9.485886,-1.031376,2.509574,-0.543958,1.173433,-2.491027,-8.061942,0.269047,1.247183,1.269526,-3.675196,4.987864,6.88767,1.308241,-1.308241
-8.911701,-3.960418,1.786501,0.461144,-1.437468,-2.012488,-8.982495,3.106628,0.927032,1.867297,-4.353949,7.690935,6.909772,1.050221,-1.050221
-9.976298,1.470323,3.127151,-1.402417,3.403408,-2.899748,-7.275696,-2.154535,1.520624,0.758968,-3.095471,2.679166,6.868794,1.363993,-1.363993
-10.195617,2.589118,3.40334,-1.786331,4.400683,-3.082533,-6.924076,-3.238394,1.642911,0.53064,-2.836211,1.646685,6.860352,1.307661,-1.307661
-10.769801,5.518159,4.126413,-2.791432,7.011584,-3.561072,-6.003524,-6.075974,1.963061,-0.067132,-2.157458,-1.056385,6.83825,1.004828,-1.004828
-10.398181,3.622443,3.658431,-2.140917,5.321773,-3.251355,-6.599318,-4.239454,1.755855,0.319754,-2.596756,0.693079,6.852555,1.202132,-1.202132
-9.283321,-2.064702,2.254483,-0.189372,0.252343,-2.322205,-8.3867,1.270107,1.134238,1.480411,-3.914651,5.941471,6.895467,1.22026,-1.22026
-10.211716,0.596937,2.302387,-0.459843,2.999119,-2.692283,-7.279983,-1.2687,1.225976,1.55795,-3.746973,3.115757,6.939833,1.336312,-1.336312
-10.856599,0.530335,1.300309,0.603198,3.545272,-2.576595,-6.863713,-1.139907,0.896408,2.575917,-4.489082,2.579493,7.044616,1.226796,-1.226796
-9.414596,0.679262,3.541024,-1.773834,2.324036,-2.83528,-7.79452,-1.427897,1.633344,0.299673,-2.829676,3.778614,6.810314,1.430475,-1.430475
-8.769713,0.745865,4.543103,-2.836876,1.777882,-2.950968,-8.210789,-1.55669,1.962912,-0.718294,-2.087566,4.314878,6.705531,1.454935,-1.454935
-7.081386,0.920232,7.166579,-5.619954,0.348033,-3.253841,-9.300596,-1.893874,2.825731,-3.383367,-0.144699,5.718833,6.431205,1.301649,-1.301649
-7.836428,0.842253,5.993325,-4.375324,0.987481,-3.118392,-8.81322,-1.74308,2.439866,-2.19151,-1.013576,5.090965,6.553887,1.384319,-1.384319
-8.727413,1.284988,4.164691,-2.849681,1.203644,-3.327088,-8.330482,-2.147421,1.868579,-0.262442,-1.903345,4.815947,7.102364,1.503556,-1.503556
-8.669165,2.156255,3.536564,-2.853594,0.283142,-3.933833,-8.517568,-3.10121,1.710735,0.491236,-1.617001,5.618218,7.746111,1.454037,-1.454037
-8.516672,4.437262,1.892108,-2.863839,-2.126764,-5.522314,-9.007365,-5.598259,1.297495,2.46439,-0.867343,7.718588,9.431463,1.251107,-1.251107
-8.79941,0.208043,4.941098,-2.844844,2.341447,-2.577109,-8.099231,-0.968474,2.063684,-1.194039,-2.257286,3.824287,6.306649,1.428808,-1.428808
-8.857658,-0.663225,5.569224,-2.840931,3.26195,-1.970363,-7.912145,-0.014686,2.221528,-1.947716,-2.54363,3.022017,5.662902,1.379387,-1.379387
-8.584869,3.417165,2.627531,-2.859257,-1.049022,-4.811924,-8.788321,-4.481545,1.482302,1.581969,-1.202601,6.779274,8.677751,1.351694,-1.351694
-8.978629,1.085515,3.724058,-3.705866,1.232158,-3.451031,-8.061642,-1.787528,2.218325,0.271067,-1.398604,4.66702,7.109089,1.423855,-1.423855
-9.387407,0.728325,3.035924,-5.091049,1.314676,-3.627594,-7.619257,-1.167512,2.790464,1.104515,-0.593232,4.394342,7.094527,1.434815,-1.434815
-10.457602,-0.206809,1.234368,-8.717504,1.530712,-4.089843,-6.461076,0.455712,4.288345,3.286511,1.515259,3.680462,7.056404,1.284287,-1.284287
-8.473351,1.527026,4.574637,-1.993687,1.13016,-3.232786,-8.608461,-2.553911,1.511122,-0.759131,-2.394098,5.004069,7.127089,1.410345,-1.410345
-8.064573,1.884215,5.262771,-0.608504,1.047642,-3.056223,-9.050847,-3.173927,0.938982,-1.592579,-3.199469,5.276747,7.141651,1.40608,-1.40608
-6.994378,2.81935,7.064327,3.017951,0.831606,-2.593973,-10.209028,-4.797151,-0.558899,-3.774574,-5.30796,5.990627,7.179774,1.173194,-1.173194
-7.687023,2.214118,5.898335,0.67086,0.971427,-2.893147,-9.459438,-3.746578,0.41055,-2.362357,-3.943316,5.528594,7.1551,1.321898,-1.321898
