01G-QSS4:Curr1,02G-QSS3:Curr1,05G-QSS3:Curr1,07G-QSS2:Curr1,08G-QSS2:Curr1,09G-QSS1:Curr1,10G-QSS4:Curr1,11G-QSS3:Curr1,12G-QSS3:Curr1,14G-QSS2:Curr1,16G-QSS2:Curr1,17G-QSS2:Curr1,18G-QSS1:Curr1,objective
-7.691472,-2.568009,-0.811208,-3.096719,5.39244,2.507687,-8.711922,-2.109408,3.277815,-2.157042,-3.335659,3.760698,7.904337,-0.781182
-6.455734,-3.124292,-0.907864,-2.947416,5.909438,1.148705,-9.715601,-1.795104,3.351488,-1.9909,-3.336198,2.844729,9.049709,-0.751386
-4.622787,-3.949417,-1.051232,-2.725957,6.67629,-0.867048,-11.204339,-1.328903,3.460767,-1.744463,-3.336997,1.48609,10.748619,-0.755772
-2.789839,-4.774541,-1.1946,-2.504499,7.443142,-2.882801,-12.693077,-0.862702,3.570046,-1.498027,-3.337796,0.12745,12.447528,-0.732973
-0.956892,-5.599665,-1.337968,-2.283041,8.209995,-4.898554,-14.181815,-0.396501,3.679326,-1.251591,-3.338595,-1.231189,14.146438,-0.694441
-8.292545,-3.053951,-0.956305,-2.904266,4.333299,3.483146,-8.35239,-1.499825,3.141589,-2.090387,-3.527605,5.092528,7.202718,-0.761271
-8.029362,-4.396504,-1.287732,-2.443569,3.136568,3.702488,-8.774334,-0.199194,2.994845,-1.816393,-3.838717,6.331505,7.212849,-0.755014
-7.638988,-6.387888,-1.779331,-1.760225,1.36148,4.027835,-9.400196,1.730008,2.777182,-1.409982,-4.300185,8.169257,7.227875,-0.683681
-8.617856,-1.394464,-0.546639,-3.47372,5.812539,3.212023,-7.830839,-3.107493,3.322974,-2.429062,-3.143048,3.561067,7.190197,-0.777402
-8.881039,-0.051911,-0.215212,-3.934417,7.009269,2.992681,-7.408895,-4.408124,3.469718,-2.703056,-2.831935,2.32209,7.180066,-0.773716
-9.271413,1.939473,0.276388,-4.617761,8.784357,2.667334,-6.783034,-6.337326,3.687381,-3.109466,-2.370468,0.484338,7.16504,-0.727581
