,mean,sd,mc_error,hpd_2.5,hpd_97.5
log_s,1.0474891676028864,0.18554074512271887,0.0028047095765430284,0.7005716285306063,1.4197205514246005
log_n,-0.2453919773226424,0.025406857052936254,0.00041849602327287725,-0.2938455822746901,-0.19385178068270412
log_ls__0,2.8016845430225246,0.536352031163629,0.006912057460549528,1.7383439820299078,3.8225120574190363
log_ls__1,0.9653747114865755,0.48384552222230026,0.008163416957789731,0.04983169604918669,1.9416879167939602
log_ls__2,2.1490878237128084,0.9838188373283161,0.015443032782484068,0.2648504720717899,4.078041712094614
log_ls__3,4.0235615416228665,0.7668531673482799,0.012254077588829659,2.5440855535704485,5.53237721383996
log_ls__4,0.8889745704195652,0.8223806614618324,0.014114523529816462,-0.7979655830386672,2.3756695918344453
log_ls__5,5.005601872464686,0.8867034255106955,0.015049836301120228,3.284759714087272,6.7697646340426
log_ls__6,5.646880702733446,0.5413461607577265,0.007886545996921247,4.636063701118869,6.739260541435943
log_ls__7,0.21294194195747002,1.760595962800476,0.026668679333707,-3.1679834362679227,3.701126403610908
log_ls__8,1.9015660118230857,0.9592102406200834,0.014602505909670643,-0.0005927522117259443,3.7683660734087043
log_ls__9,0.0989065801854864,0.39129793828284115,0.0063702266380626,-0.6648263039482435,0.8754677939202653
log_ls__10,1.641439303742052,0.5111540579982907,0.007940876365123537,0.6770538104783456,2.6611845828030622
s,2.9000335288189856,0.5435973084296937,0.008342429565525642,1.911074261600046,3.9847818453812467
ls__0,19.070667660885924,11.340721826452347,0.15135051982738584,3.623837060239313,40.735498057271606
ls__1,2.9493280347383424,1.4984491263785273,0.02598415485811171,0.7605277529407516,5.819183000633062
ls__2,14.102058779207729,20.903684825843666,0.3102807375602637,0.33390225608220675,44.20825226214102
ls__3,75.38081893818232,70.36354209964499,1.0801818684071158,5.223504696441723,198.22164732612077
ls__4,3.414382611449253,3.2892845123394667,0.05602784866103035,0.19199850333602073,9.468329999311754
ls__5,220.80510722343126,238.45263552178028,4.225584498332263,11.062651718185126,646.9269978035696
ls__6,327.574901944963,187.248419245112,2.6762438134387754,64.74383041734629,689.3234913437724
ls__7,6.093609196071604,25.71610716415537,0.4111075036731048,0.0034832748113062745,21.09140347173788
ls__8,10.63921450397038,12.908991514563446,0.18428322244899856,0.35980513410173465,32.75920102907287
ls__9,1.1921699643791004,0.48860940550779824,0.007754796180609445,0.40702750371099133,2.137027971106642
ls__10,5.8849453564188074,3.2170166121240045,0.04889285147175864,1.3291201441031764,12.289657314950096
n,0.7826505305432779,0.019908354531077452,0.00032724665539793493,0.7453915842297787,0.8237799953287361
