,mean,sd,mc_error,hpd_2.5,hpd_97.5
log_s,1.0533905831179387,0.20580777601188957,0.003403536511952259,0.6384656088825369,1.45776766552629
log_n,-0.25177695620605994,0.01301826991097019,0.00021081114096935662,-0.2759155578118373,-0.2255297679278851
log_ls__0,2.9011573406170523,0.6708387920778582,0.01085945033328398,1.6326406816454593,4.232952345270786
log_ls__1,0.9982610595604542,0.4945467867866712,0.007279176358162072,0.10640559221148338,2.0364507321667107
log_ls__2,2.1891612133544998,0.9395038479937367,0.013172721398443213,0.29770056799606337,4.010027806387621
log_ls__3,4.069370734532192,0.7745017871514717,0.011846560468339842,2.60162317793481,5.59380731900851
log_ls__4,0.930889057054754,0.7879662348674843,0.01167238871865693,-0.6164567196264019,2.4159068284137293
log_ls__5,4.9849097690224955,0.9206587335060118,0.01444767565666584,3.2910043537315787,6.827813172278559
log_ls__6,5.663873913820534,0.5551513101196636,0.009659511165401764,4.547141214471252,6.740155539202151
log_ls__7,0.23730781909046167,1.7521225884017984,0.02703587403752236,-3.428610834305196,3.4537747017245
log_ls__8,1.8525526684000448,0.9765578397731987,0.014406711909370314,-0.1599162283176434,3.672730742517018
log_ls__9,0.12442672023680533,0.4150581582572348,0.006557196786620667,-0.6872573143821652,0.8986718730652934
log_ls__10,1.5110537679160718,0.3973657510368465,0.006067101145995046,0.7367555796319053,2.2763364080199278
s,2.9285520082184977,0.606867681833754,0.010139640047300395,1.8154632635846384,4.177273593173096
ls__0,22.81848900511266,17.16456078278296,0.26215900284329197,2.7669738062139984,55.94870247208233
ls__1,3.0677821236291605,1.627152679494446,0.02317352920501744,0.7780321118392242,6.19236297053959
ls__2,13.931775457190092,17.054383617363776,0.25398515649109066,0.3342136028420326,42.883028221531404
ls__3,78.80678530818581,70.67849909793618,1.0329449871162897,5.776659455566567,212.3401029065789
ls__4,3.4693288416605914,3.3676862816437834,0.048413652907612306,0.23006794116960616,9.359757392394323
ls__5,221.80492739050285,250.32552287622397,4.107455990531519,7.059660528358021,638.9967591311096
ls__6,336.2664162668423,202.23873994491484,3.4160966443789156,64.7984066098178,723.3952365248963
ls__7,5.858846239902003,23.87669519760101,0.3463035610368197,0.003932472758115813,22.075706398820653
ls__8,10.355937479133363,13.773557961053806,0.19855853402878285,0.2170453302224505,32.07407556228936
ls__9,1.2343936391380947,0.5369286517246624,0.008516615463310524,0.39885421742237637,2.2466368527966214
ls__10,4.904034948766963,2.027976362440241,0.030447930727455014,1.7366452608026155,8.960101872250213
n,0.7774839828239087,0.010118785431259037,0.00016373391640626907,0.7588770092909486,0.7980933025104058
