,log_ls,ls,log_n,noise_sd,log_s,sig_sd
0,2.1596823435554535,8.668383653141621,1.1105044167387383,3.035889361691454,2.5076894472680253,12.276531691341164
1,2.0950555317755803,8.125892202905836,1.6981236202433436,5.463685817967744,3.1842025834997596,24.14802469292625
2,1.5145431661361206,4.54734327186725,1.3624271442692635,3.9056614106245773,2.3082056977442624,10.056364299843322
3,2.2424861613131384,9.4167136784452,1.2281853741119502,3.415026914025663,1.8469049742586376,6.340166147009248
4,1.8696934039320015,6.486307418045175,1.6717117176760885,5.321268515406,2.9190061775022524,18.52286986455829
5,2.1255634201411855,8.37761627641751,1.5819046354533342,4.864211543800044,3.1291553856602814,22.854668007860376
6,2.0250091305682814,7.5761801191509335,1.3323337791438474,3.789877812557321,2.5720681357788653,13.092874301692213
7,1.5987289106152778,4.946740676992063,1.5347474100593121,4.64015332586335,3.2036003777750537,24.621015768755182
8,1.3396572884596463,3.8177348993339364,1.55438100526987,4.732156438501297,2.5664728721658676,13.019820785951895
9,2.0845723341375013,8.041151820108567,1.7205412420956767,5.587551864287297,2.708453279892834,15.006047400566931
10,1.5142024844782398,4.545794339283879,1.812684367034949,6.1268721510105,1.115883786383721,3.0522645373424817
11,2.252513703135527,9.511615187905985,1.684362129979351,5.389012346363988,3.1320290234827457,22.920438501296474
12,1.5704386263384968,4.808756978723357,1.6923782388111333,5.43238486298267,2.9107703115578527,18.370944468795596
13,1.507562019102604,4.515708153064115,1.7036076972227807,5.493731402432026,3.103454329545931,22.274762910373042
14,2.061498024039306,7.857732069579923,1.4275033499579672,4.168279455040763,3.087692778793123,21.926430445388167
15,1.7685074188916694,5.862097172851998,1.8908713318912902,6.625138861581169,2.729352298509232,15.322959101637434
16,1.5681467360120376,4.797748455104684,1.2256854650522566,3.4065003196001302,3.529197854841275,34.09660621471011
17,1.9224972337039539,6.8380132827379425,1.4431323171822266,4.2339371021512795,2.7300086325458732,15.333019382329075
18,1.7688675172247006,5.864208484389077,1.8622710461170957,6.438341952123218,2.4917873216521356,12.082852776875866
