sig_sd,ls,noise_sd,lml
13.391,6.143,4.042,-67.011
15.505,5.81,3.888,-66.809
12.648,5.315,3.234,-67.871
19.508,15.632,5.975,-70.582
18.408,6.051,5.603,-67.815
30.59,3.421,3.702,-72.319
14.364,5.192,3.663,-66.915
15.095,7.285,5.745,-67.755
14.752,5.52,5.489,-67.63
12.716,6.899,5.317,-67.604
15.176,4.196,5.208,-67.916
10.587,4.245,3.805,-67.624
13.402,6.468,4.654,-67.064
14.554,8.795,4.482,-67.615
9.61,2.51,2.918,-71.155
21.072,6.764,4.278,-66.926
16.206,6.531,5.939,-67.979
18.742,6.116,4.344,-66.852
26.616,8.719,5.665,-67.985
25.653,4.334,4.512,-69.168
27.487,3.611,5.6,-71.759
26.5,5.335,5.176,-68.715
16.939,4.945,4.601,-67.092
12.169,6.311,4.739,-67.307
28.252,14.299,6.384,-69.934
14.28,4.17,3.377,-67.656
11.698,4.872,3.451,-67.543
23.845,7.009,4.204,-67.103
17.647,7.578,5.806,-67.776
13.32,4.565,4.233,-66.946
36.298,13.568,4.111,-69.632
37.539,5.743,3.393,-69.734
11.032,2.703,4.135,-69.17
26.596,6.975,3.607,-67.694
17.921,5.35,4.111,-66.842
28.116,14.465,5.997,-69.755
6.562,2.916,5.06,-72.469
10.914,4.812,4.438,-67.386
29.538,9.063,4.803,-67.364
17.171,8.017,6.819,-68.966
26.847,8.956,4.062,-67.094
23.433,2.877,5.469,-72.064
18.073,9.001,5.446,-67.652
34.787,10.772,4.176,-67.685
16.029,4.498,5.139,-67.706
22.512,5.491,4.9,-67.756
13.596,3.582,3.733,-67.955
34.724,3.508,4.08,-72.967
25.011,12.012,4.343,-68.715
30.763,6.201,4.792,-68.428
