sig_sd,ls,noise_sd,lml
0.018,0.164,16.287,-40.053
81.724,3.928,10.828,-46.478
0.175,0.081,12.555,-39.472
2.4,2.57,11.556,-39.337
0.01,0.094,20.799,-41.354
2.008,21.59,19.89,-41.082
14.213,0.042,13.753,-41.042
0.248,0.12,22.376,-41.838
0.025,88.362,14.93,-39.746
0.371,0.947,8.605,-41.305
0.119,4.612,12.311,-39.475
6.907,107.963,14.977,-39.827
0.024,89.157,14.033,-39.591
0.421,0.386,13.943,-39.579
3.887,15.923,13.496,-39.297
0.144,12.344,13.28,-39.504
1.353,51.874,18.08,-40.54
0.821,7.892,15.185,-39.787
0.018,0.01,16.29,-40.054
69.691,0.114,11.719,-51.926
0.178,0.139,14.532,-39.671
1.029,0.137,10.016,-40.029
0.01,84.718,10.834,-39.706
0.282,0.395,10.39,-39.87
0.029,0.011,14.528,-39.671
1.11,1.286,12.061,-39.474
0.075,42.298,17.714,-40.436
0.021,0.479,13.2,-39.498
0.037,1.105,13.069,-39.489
0.136,0.012,14.883,-39.737
1.301,92.525,16.1,-40.0
0.011,0.142,8.8,-41.077
0.225,11.333,8.383,-41.608
0.526,2.942,14.13,-39.602
0.021,0.383,10.992,-39.66
0.044,1.426,11.506,-39.549
1.999,0.011,7.385,-42.953
0.782,0.042,12.75,-39.476
0.099,1.958,13.464,-39.521
0.15,0.083,15.076,-39.775
0.346,122.098,8.169,-41.926
0.127,49.554,8.909,-40.95
0.086,65.898,13.241,-39.501
0.033,0.046,9.086,-40.768
0.016,0.614,9.49,-40.411
1.29,0.496,9.746,-40.169
0.015,0.063,12.67,-39.473
0.07,0.06,15.376,-39.839
0.152,0.242,14.527,-39.671
0.026,0.348,9.835,-40.167
