sig_sd,ls,noise_sd,lml
39.491,35.344,6.085,-86.663
38.865,59.939,7.927,-81.712
18.754,4.971,9.628,-81.883
19.995,9.457,8.446,-80.152
36.337,22.84,10.699,-80.388
28.237,15.89,7.934,-79.264
51.204,21.762,8.869,-80.341
25.395,20.426,9.758,-79.682
22.264,58.317,16.094,-82.344
20.986,15.221,8.191,-79.575
24.647,14.435,10.958,-80.199
23.622,24.823,9.555,-80.096
6.733,11.266,11.519,-90.199
27.771,16.833,10.889,-80.056
33.493,7.933,6.454,-82.636
28.335,30.114,6.391,-84.431
21.724,13.528,9.014,-79.622
22.161,5.801,11.145,-81.895
14.652,6.781,9.473,-81.773
26.843,14.11,7.699,-79.424
23.846,27.217,8.743,-80.498
46.482,15.587,10.209,-80.905
14.626,5.285,6.149,-84.665
27.433,21.525,9.475,-79.69
43.848,23.177,9.869,-80.384
20.306,24.05,11.565,-80.598
28.26,4.13,6.757,-84.972
22.275,3.951,12.423,-83.832
20.512,17.199,8.797,-79.644
21.366,13.559,7.694,-79.714
16.077,11.517,10.919,-81.352
13.852,4.507,10.503,-83.312
23.582,28.73,8.301,-80.943
14.431,8.037,11.28,-82.241
17.382,11.767,8.56,-80.41
20.286,19.948,10.406,-80.101
31.424,64.019,11.956,-80.096
15.563,14.992,8.902,-80.808
44.67,38.052,7.85,-82.545
44.717,14.194,10.457,-81.126
15.808,2.577,10.432,-85.244
20.442,8.936,6.557,-81.251
23.316,17.898,10.114,-79.736
36.474,13.384,7.233,-80.217
53.269,48.079,12.105,-81.574
20.204,8.86,10.53,-80.737
31.754,80.447,11.541,-79.941
44.393,6.652,9.149,-83.801
17.015,14.797,8.249,-80.385
23.718,12.367,14.104,-82.33
28.536,8.895,12.887,-82.247
40.195,19.682,5.921,-81.661
24.099,6.871,10.079,-81.099
38.442,45.09,10.274,-80.641
27.237,8.271,8.718,-80.511
17.156,20.028,10.459,-80.535
25.941,14.122,7.753,-79.41
13.684,11.397,7.543,-82.422
19.409,5.6,8.549,-81.385
22.43,16.339,14.208,-82.092
41.625,38.377,9.145,-81.276
28.241,8.439,8.537,-80.534
24.38,13.276,7.769,-79.517
10.691,40.968,8.399,-83.673
26.709,13.56,10.294,-79.955
45.422,15.348,9.99,-80.756
17.138,5.607,10.319,-81.778
22.384,39.675,11.19,-80.258
17.642,11.788,11.853,-81.424
22.366,30.326,11.87,-80.652
46.566,13.765,9.863,-81.102
49.294,26.832,13.349,-82.563
13.251,5.427,11.589,-83.364
34.721,8.67,8.608,-81.146
22.169,5.398,9.515,-81.642
