sig_sd,ls,noise_sd,lml
0.356,1.982,13.65,-43.488
1.403,9.211,15.573,-42.885
0.119,0.015,21.659,-43.186
7.326,8.683,10.281,-43.388
0.002,20.814,17.618,-42.779
0.099,0.538,15.71,-42.896
0.559,0.257,21.479,-43.159
0.115,0.012,18.376,-42.805
13.328,7.82,9.13,-42.892
0.002,0.557,14.156,-43.282
0.304,0.333,20.266,-42.983
12.272,0.086,10.284,-42.856
18.961,3.423,11.423,-42.96
8.707,0.749,15.761,-42.775
0.421,2.465,25.632,-43.944
2.45,0.0,17.465,-42.78
16.156,0.209,12.665,-43.017
1.075,0.057,21.814,-43.216
0.016,0.017,20.303,-42.987
0.009,0.072,18.036,-42.789
0.019,6.077,18.202,-42.796
0.086,0.114,21.768,-43.204
0.199,0.332,19.906,-42.939
0.494,0.168,12.414,-44.241
1.418,1.76,19.922,-42.943
