sig_sd,ls,noise_sd,lml
13.431,12.602,10.147,-160.955
17.093,12.225,10.97,-160.24
54.806,92.816,14.367,-161.182
21.102,73.294,14.018,-160.545
157.894,202.353,10.885,-160.209
20.464,19.198,11.94,-160.323
40.227,53.143,12.888,-160.242
26.8,53.174,8.589,-162.642
39.659,23.33,9.884,-161.293
47.05,245.256,11.94,-160.015
68.883,132.718,9.761,-160.207
16.643,17.109,15.045,-163.025
64.918,43.495,12.942,-161.64
17.867,89.693,11.758,-159.875
71.531,176.587,11.664,-159.223
36.91,138.189,13.084,-159.746
23.778,12.584,11.464,-160.54
26.761,87.038,15.236,-161.591
21.978,15.084,9.547,-160.131
11.787,22.624,13.079,-161.53
25.145,96.878,10.439,-159.506
25.354,39.126,10.516,-159.532
18.066,42.552,13.602,-160.597
21.129,88.829,10.172,-159.987
23.344,34.481,10.229,-159.732
