sig_sd,ls,noise_sd,lml
0.105,0.843,6.276,-19.533
1.762,0.314,12.715,-18.732
10.379,116.912,15.531,-19.732
2.902,38.753,10.138,-18.435
3.672,4.619,5.656,-18.799
0.137,0.061,16.894,-19.524
3.773,0.065,7.431,-18.46
0.021,69.688,10.367,-18.397
5.644,0.129,11.699,-18.759
2.119,142.616,7.996,-18.537
0.044,0.272,7.769,-18.601
1.107,0.061,8.05,-18.503
6.344,0.118,6.264,-18.386
3.786,2.387,7.949,-18.328
30.897,15.5,2.939,-19.093
0.009,0.03,7.755,-18.606
2.538,0.008,7.839,-18.479
0.12,0.28,17.993,-19.745
4.699,0.283,7.435,-18.396
27.729,119.339,9.875,-19.797
7.674,0.009,7.793,-18.451
5.549,0.027,8.826,-18.402
0.02,5.836,19.76,-20.094
9.568,1.428,11.004,-19.044
6.407,0.937,8.804,-18.443
0.842,0.052,10.875,-18.447
3.234,3.915,5.606,-19.064
0.021,79.609,7.308,-18.784
0.249,0.048,12.4,-18.658
0.178,4.611,12.264,-18.635
0.208,37.46,11.47,-18.517
0.075,142.341,13.654,-18.881
16.134,0.011,9.141,-19.855
0.179,0.147,6.77,-19.102
1.943,0.021,18.734,-19.912
0.631,5.091,11.97,-18.59
0.041,0.931,6.237,-19.575
5.617,14.581,8.251,-18.325
0.123,9.013,9.226,-18.368
1.991,0.008,13.251,-18.834
5.398,48.146,5.862,-19.719
0.014,0.194,7.722,-18.617
71.115,115.649,8.109,-20.667
0.133,11.654,8.895,-18.387
9.688,0.035,4.557,-18.427
8.601,0.438,2.55,-18.382
17.798,0.292,1.689,-19.722
15.843,0.137,1.261,-19.322
7.625,0.22,2.309,-18.543
7.928,5.697,2.312,-17.632
