,hyp,values
0,s_1,69.92198590336382
1,ls_2,68.60617480070142
2,s_3,2.591963676423657
3,ls_4,85.1366832746343
4,ls_5,1.5118606620536998
5,s_6,1.1584610138784532
6,ls_7,1.8805628042779492
7,alpha_8,0.12113886982432155
8,s_9,0.16983284748134136
9,ls_10,0.12190917188440625
10,n_11,0.195224288671554
