,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
s_1,530.3352018313878,652.5020885473384,29.333897281923196,4.206316338220909,1634.0548179407103,315.4076198091582,1.0020987989105916
ls_2,6639.7589058390195,5157.57783223399,274.61323476924787,64.98291899542645,17740.830458653203,203.40486504877614,0.9995015027785998
s_3,53.357295724981846,24.29165271340404,1.0507303861054642,24.975938592150758,97.71337972810953,448.4835932255853,0.9996548404471135
ls_4,3592.5000197252652,1269.2466868839406,51.24024591486464,1459.7332502929657,6046.816138917249,511.3119735400782,1.0005766341618176
ls_5,0.7038686829378183,0.10946095943266297,0.004375142684018438,0.5015146278375745,0.9091445368265499,465.1455123861349,0.9995145609175332
s_6,117.15996811249558,156.82917588583683,8.905902994730432,0.0002744831850915941,407.66606317998827,292.0567737060043,1.0002331010775507
ls_7,1307.6246631252322,2473.7284583761643,128.9115628470662,0.002094942086977328,6501.945199461724,364.60087638831214,0.9998920406471836
alpha_8,0.014129780453856168,0.02494318054014485,0.0008518967811611006,4.5464107822016334e-05,0.07183885329518777,703.5177053621926,1.0016003701147655
s_9,4.06649106690369,1.255249685274012,0.06611881857920189,1.667981354763378,5.883640064477567,290.1835951440872,0.9994999494518733
ls_10,0.0013002995710690044,0.0016527723058812713,5.204595904038697e-05,4.568463683706585e-05,0.005357822234938824,913.5644241663493,1.000083914750872
n_11,0.21229910099886018,0.4426030545487081,0.023734095971332463,4.5515274304015476e-05,1.3061883517776935,169.23381602867585,1.0110135699131872
