,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
log_ls,1.7405009144017483,0.832432797948544,0.022429127877733067,0.27801674933302856,3.4792091510213563,1388.7826886852124,1.000985431459701
ls,8.320074835312619,11.539170535709278,0.3745484577009728,0.008059343135302164,22.094692532352504,942.8743325658029,1.0001261127132215
log_n,2.01321466736489,0.1454211100775717,0.0048978692220083084,1.741221949428839,2.305818506304769,776.7785665732215,1.001408607738705
noise_sd,7.568406555666858,1.137772972268986,0.039204657400575396,5.505113534588688,9.803368945591576,732.6094741139334,1.0016473957610506
log_s,2.1304178112404797,0.7380338538694485,0.031138430154647585,1.2293924660207853,3.492520736255063,577.6553041603304,1.0026206208123047
sig_sd,10.371660074777848,8.234049687172996,0.2651899814033957,0.009820250683573617,24.158998550408366,893.4781345243628,1.0004138236742088
