sig_sd,ls,noise_sd,lml
12.277,8.668,3.036,-71.598
15.053,4.53,4.995,-67.466
27.423,8.438,3.984,-67.172
14.216,4.322,6.892,-69.715
16.04,6.759,3.472,-67.499
12.052,8.161,5.096,-68.042
20.523,5.113,4.245,-67.257
6.948,5.501,5.091,-70.661
18.531,6.884,7.115,-69.466
17.503,5.545,4.808,-67.106
16.865,10.905,3.926,-69.468
14.004,7.667,4.017,-67.339
27.894,5.134,4.284,-68.453
21.417,5.464,5.567,-68.306
19.923,3.228,4.977,-70.043
14.161,6.052,4.946,-67.121
29.012,5.593,4.834,-68.592
12.414,8.476,4.256,-68.162
13.176,5.978,4.391,-66.975
16.841,4.519,6.046,-68.801
28.75,6.548,5.441,-68.61
21.784,7.586,5.641,-67.772
23.39,8.956,4.247,-66.97
26.549,8.349,4.595,-67.131
21.837,6.75,5.968,-68.344
18.961,8.631,3.696,-67.414
14.741,3.715,3.38,-68.287
19.869,8.23,4.392,-66.837
17.082,7.362,2.621,-71.649
19.342,4.803,5.619,-68.449
15.892,5.696,4.84,-67.031
28.866,8.984,4.948,-67.429
25.26,6.446,5.444,-68.235
23.341,5.169,2.542,-71.294
10.691,4.193,3.926,-67.558
14.205,5.979,4.53,-66.893
15.944,6.49,3.255,-67.931
34.677,9.011,6.172,-69.121
17.555,9.472,4.949,-67.582
19.099,4.745,4.513,-67.42
14.773,3.884,2.894,-69.404
23.915,3.315,4.202,-70.632
18.502,6.807,3.032,-68.706
13.038,9.046,6.23,-68.926
14.598,5.317,5.508,-67.687
16.054,3.635,5.035,-68.519
23.377,7.498,5.529,-67.789
8.038,12.414,7.847,-72.877
15.211,7.724,4.937,-67.153
21.057,4.977,3.371,-67.82
