sig_sd,ls,noise_sd,lml
0.348,0.011,13.393,-39.515
9.68,0.043,19.226,-41.577
0.016,1.228,13.925,-39.576
0.076,0.593,9.788,-40.197
0.01,1.724,19.771,-41.04
9.48,1.01,7.455,-39.015
19.374,3.975,4.487,-36.919
0.042,110.857,8.92,-40.941
20.131,22.331,9.606,-39.38
8.043,15.197,11.022,-38.771
1.524,0.01,10.753,-39.698
7.66,6.62,9.555,-37.82
8.768,5.759,9.281,-37.625
1.824,10.147,15.329,-39.782
16.007,4.43,2.682,-37.112
14.366,2.966,2.705,-36.528
9.67,16.429,6.729,-40.141
2.145,0.064,13.042,-39.5
0.965,16.081,11.017,-39.576
13.361,1.503,3.786,-37.813
0.048,33.872,12.822,-39.477
0.016,0.086,12.659,-39.473
12.975,7.613,7.418,-37.186
19.327,6.477,4.288,-37.686
12.836,0.153,4.63,-39.529
24.597,5.042,3.714,-37.285
10.074,0.014,9.006,-39.526
0.051,16.425,15.741,-39.921
11.009,3.814,4.486,-36.847
3.393,23.675,20.154,-41.183
13.215,2.68,3.412,-36.614
0.622,2.892,15.557,-39.877
1.776,0.111,13.03,-39.495
0.063,142.701,15.922,-39.964
8.466,34.391,8.092,-40.285
0.459,0.123,15.498,-39.867
14.936,0.173,5.456,-39.937
20.44,3.193,5.016,-37.684
0.529,11.674,12.704,-39.461
7.208,6.45,8.491,-37.695
