sig_sd,ls,noise_sd,lml
8.124,1.419,5.34,-141.867
24.52,4.3,6.63,-141.885
16.63,6.08,7.035,-140.464
14.33,4.126,5.234,-140.978
9.893,4.314,7.275,-140.471
19.395,3.098,6.657,-141.647
15.003,4.211,8.003,-141.746
20.497,12.447,5.031,-148.023
16.319,2.418,4.955,-141.723
13.821,6.401,6.956,-140.536
16.932,3.722,6.84,-140.88
21.155,6.348,5.34,-141.398
12.589,3.998,5.641,-140.16
24.958,9.633,6.498,-141.778
11.562,4.737,6.107,-139.836
20.048,8.99,5.837,-142.228
10.328,1.015,4.465,-143.468
21.197,2.22,4.585,-144.656
14.239,7.351,7.425,-141.178
9.761,2.531,6.346,-140.106
16.068,8.427,6.112,-141.645
18.047,3.491,5.069,-141.534
16.06,4.179,5.981,-140.215
7.772,3.118,7.326,-141.308
21.055,1.793,6.337,-144.72
28.078,3.535,6.814,-143.441
3.748,3.551,6.297,-148.628
16.88,4.696,5.618,-140.454
19.548,5.669,5.579,-140.657
15.257,2.272,5.492,-140.94
16.235,8.207,7.63,-141.55
25.007,3.508,6.331,-142.329
11.783,2.483,6.655,-140.389
14.195,6.263,6.138,-140.396
19.119,3.759,6.157,-140.878
17.796,8.323,6.607,-141.184
17.033,8.512,6.635,-141.252
6.882,1.672,7.904,-143.877
14.02,4.324,8.544,-142.452
11.517,5.074,7.338,-140.473
10.79,3.472,7.207,-140.514
14.238,1.796,7.478,-143.128
7.309,3.286,7.619,-141.812
17.027,6.733,6.036,-140.632
22.906,4.569,5.551,-141.566
23.48,6.276,5.695,-140.891
5.874,1.369,4.297,-148.771
15.924,2.093,6.595,-141.931
6.488,4.822,5.774,-143.045
19.268,4.64,6.214,-140.486
