sig_sd,ls,noise_sd,lml
14.892,3.172,7.349,-141.367
20.397,5.862,7.228,-140.906
15.136,4.582,6.311,-139.903
12.933,6.373,6.786,-140.507
7.007,2.381,6.32,-141.477
7.273,3.812,5.37,-142.307
13.98,3.916,5.237,-140.91
24.102,3.714,6.665,-142.248
17.104,5.027,7.065,-140.466
12.314,1.42,7.375,-143.27
13.211,3.126,6.753,-140.367
13.809,4.881,5.796,-139.987
8.105,1.03,6.566,-143.695
4.253,7.266,5.875,-149.567
10.206,7.871,6.319,-141.976
26.751,3.585,6.618,-142.882
25.112,5.526,6.671,-141.076
11.199,11.896,7.692,-143.306
8.361,2.859,7.663,-141.592
22.255,5.65,7.079,-140.988
22.944,1.597,6.901,-147.064
9.866,3.004,7.032,-140.506
9.472,3.447,5.889,-140.167
11.183,4.683,4.704,-143.289
16.581,2.324,7.331,-142.71
9.872,4.949,5.15,-141.997
11.655,3.12,6.566,-140.051
14.242,6.258,6.164,-140.374
8.548,7.941,7.807,-142.405
16.455,7.336,8.289,-142.217
10.744,4.837,7.412,-140.567
10.486,1.318,7.698,-143.621
8.193,2.771,5.712,-140.679
8.392,5.105,6.108,-141.047
9.258,9.671,5.346,-146.646
9.98,2.837,6.323,-140.003
11.774,2.655,5.537,-140.01
18.59,4.722,7.304,-141.082
12.26,4.428,4.753,-142.751
8.186,1.481,7.137,-142.521
17.836,3.333,6.746,-141.181
14.038,12.198,4.637,-152.563
12.213,3.958,6.513,-139.872
17.549,4.0,5.067,-141.723
15.411,3.975,5.681,-140.364
13.963,3.737,8.424,-142.545
15.209,1.285,7.611,-145.438
14.771,6.925,7.274,-140.929
11.573,3.409,6.164,-139.863
11.572,2.477,5.603,-139.991
