sig_sd,ls,noise_sd,lml
10.726,1.299,6.634,-142.242
12.968,3.641,6.871,-140.269
17.589,3.672,6.994,-141.203
7.084,1.373,6.329,-142.926
14.003,3.615,6.612,-140.213
9.969,9.196,7.372,-142.24
8.916,4.657,7.646,-141.132
100.01,27.343,7.827,-146.075
27.334,5.587,6.597,-141.32
14.552,3.754,5.383,-140.627
15.29,1.543,4.525,-143.531
28.6,9.913,6.251,-142.122
12.642,5.388,7.751,-141.002
10.491,2.652,5.4,-140.176
17.164,3.423,5.672,-140.621
17.352,4.998,5.663,-140.375
30.251,15.286,6.605,-143.788
13.162,6.149,6.949,-140.45
8.432,2.31,5.717,-140.513
19.465,4.376,7.57,-141.829
9.342,5.152,7.773,-141.301
14.168,3.155,5.21,-140.633
10.885,2.385,5.734,-139.955
12.636,2.585,6.009,-140.027
14.125,3.192,7.611,-141.58
14.132,3.421,5.702,-140.158
22.997,6.543,4.934,-142.839
14.675,7.182,5.567,-141.913
12.932,7.575,7.6,-141.41
16.77,2.356,6.064,-141.343
7.603,2.413,6.531,-141.042
15.606,3.631,6.051,-140.257
11.858,4.489,5.956,-139.856
18.227,8.292,5.231,-143.579
8.802,2.449,5.595,-140.405
8.873,5.246,7.226,-140.944
10.656,2.478,6.85,-140.506
15.612,5.803,5.602,-140.545
16.9,5.096,5.801,-140.167
41.518,11.028,5.684,-143.687
7.109,3.63,4.747,-144.772
12.52,4.455,5.193,-141.061
6.751,4.277,8.011,-142.518
20.287,12.64,8.472,-143.426
18.598,9.155,5.274,-144.104
17.633,2.641,5.304,-141.376
9.321,2.707,7.922,-141.865
9.265,4.292,6.324,-140.12
9.416,1.601,5.947,-140.85
9.585,4.704,7.292,-140.597
10.56,3.349,6.104,-139.899
12.724,1.439,5.089,-141.787
11.09,5.587,7.039,-140.445
17.925,5.181,5.084,-141.65
27.31,5.468,5.493,-141.801
9.902,10.281,6.13,-143.976
15.254,4.926,5.989,-139.911
7.084,4.102,7.352,-141.597
9.816,6.439,9.399,-143.844
12.985,3.233,5.499,-140.182
11.297,2.343,6.858,-140.652
6.163,1.531,5.494,-144.095
8.035,2.046,4.503,-143.227
14.759,4.185,6.286,-139.991
19.96,4.056,5.093,-142.012
15.102,3.646,5.985,-140.185
8.697,3.889,6.805,-140.383
11.965,11.05,9.39,-144.515
18.057,2.86,6.7,-141.582
9.674,3.067,5.634,-140.225
10.925,1.931,5.484,-140.329
12.115,3.323,7.477,-140.993
11.173,3.339,5.861,-139.926
8.249,6.06,8.034,-142.182
14.182,4.298,6.723,-140.05
8.413,4.446,7.142,-140.766
15.38,4.957,5.891,-139.979
7.775,1.689,6.23,-141.465
14.57,5.42,6.381,-139.876
11.301,3.87,6.247,-139.822
14.654,7.649,6.352,-141.104
15.584,6.3,6.747,-140.342
25.655,7.341,6.228,-141.01
19.843,3.976,5.206,-141.713
11.853,2.444,6.567,-140.341
20.232,4.752,6.833,-140.863
9.746,3.705,6.725,-140.111
7.862,4.315,7.385,-141.192
13.547,1.757,5.698,-141.159
17.059,6.075,6.069,-140.215
20.857,4.512,7.277,-141.613
49.246,6.769,6.616,-143.15
14.141,5.06,6.159,-139.802
15.853,5.767,5.084,-141.775
7.208,2.758,6.137,-141.195
16.95,3.731,7.486,-141.656
10.593,5.183,7.681,-140.981
13.208,3.492,6.762,-140.256
31.168,8.774,6.211,-141.8
10.038,3.507,5.963,-140.013
